Year,Primary Enrollment,GDP
2001,967748.0,967748.0
2002,987676.0,987676.0
2003,1016098.0,1016098.0
2004,1045485.0,1045485.0
2005,1045484.0,1045484.0
2006,1035100.0,1035100.0
2007,1075041.0,1075041.0
2008,993795.0,993795.0
2009,963524.0,963524.0
2010,939726.0,939726.0
2011,900681.0,900681.0
2012,858864.0,858864.0
2013,817275.0,817275.0
2014,777043.0,777043.0
2015,741394.0,741394.0
2016,711182.0,711182.0
2017,678137.0,678137.0
2018,662740.0,662740.0
2019,626300.0,626300.0
2020,616870.0,616870.0
2021,603304.0,603304.0
